product_id,name,price,subcategory,category
0,product53,205.45,subcategory4,category1
1,product79,53.49,subcategory2,category3
2,product37,233.85,subcategory5,category3
3,product87,288.04,subcategory4,category8
4,product100,34.42,subcategory5,category7
5,product46,259.11,subcategory2,category2
6,product70,172.78,subcategory1,category2
7,product60,89.11,subcategory5,category4
8,product45,147.91,subcategory4,category3
9,product36,135.11,subcategory3,category1
10,product25,113.65,subcategory5,category3